tag,release_date,frontier_score,best_model,best_family,best_model_release_date,is_new_frontier
Abstraction-Learning,2024-09-06,0.004645137754839156,Kimi-K2-Instruct-0905,Kimi,2024-09-05,False
Search-Load,2024-09-06,0.004646272989429351,Kimi-K2-Instruct-0905,Kimi,2024-09-05,False
Coding,2024-09-06,0.0026670428023844077,gpt-4o-2024-08-06,GPT,2024-08-06,False
Science,2024-09-06,0.004641259884623462,gpt-4o-2024-08-06,GPT,2024-08-06,False
Quantitative-Formal,2024-09-10,0.004686658212573551,Kimi-K2-Instruct-0905,Kimi,2024-09-05,False
Logical-Control,2024-09-10,0.004678952433254642,Kimi-K2-Instruct-0905,Kimi,2024-09-05,False
Abstraction-Learning,2024-09-10,0.004645137754839156,Kimi-K2-Instruct-0905,Kimi,2024-09-05,False
Search-Load,2024-09-10,0.004646272989429351,Kimi-K2-Instruct-0905,Kimi,2024-09-05,False
Coding,2024-09-10,0.0026670428023844077,gpt-4o-2024-08-06,GPT,2024-08-06,False
Science,2024-09-10,0.004641259884623462,gpt-4o-2024-08-06,GPT,2024-08-06,False
Quantitative-Formal,2024-09-12,0.004686658212573551,Kimi-K2-Instruct-0905,Kimi,2024-09-05,False
Logical-Control,2024-09-12,0.004678952433254642,Kimi-K2-Instruct-0905,Kimi,2024-09-05,False
Abstraction-Learning,2024-09-12,0.004645137754839156,Kimi-K2-Instruct-0905,Kimi,2024-09-05,False
